Subject Code,Subject Name,Course Code,Course Name,Course Description,Course Units,Prerequisites
EAE,Aerospace Science & Engineering (EAE),EAE 001,Introduction to Aerospace Science Engineering,"Description of the field of aerospace engineering with examples from industry, government, and research. Aerospace engineering principles, ethics, and responsibilities.",1 unit,None
EAE,Aerospace Science & Engineering (EAE),EAE 010,From the Wright Brothers to Drones & Quadcopters,"History of aircraft and its influence on society. Topics covered will include Unmanned Aerial Vehicles, safety considerations, economics and privacy issues. Aerodynamics, stability and control will also be introduced.",2 units,None
EAE,Aerospace Science & Engineering (EAE),EAE 099,Special Study for Undergraduates,Special study for undergraduates.,1-5 units,Consent of instructor; lower division standing.
EAE,Aerospace Science & Engineering (EAE),EAE 126,Theoretical & Computational Aerodynamics,Development of general equations of fluid motion. Study of flow field kinematics and dynamics. Flow about a body. Thin airfoil theory. Viscous effects. Applications of numerical methods to wing analysis and design.,4 units,"ENG 103, ENG 105, ENG 180, MAT 128C, EME 115"
EAE,Aerospace Science & Engineering (EAE),EAE 127,Applied Aircraft Aerodynamics,"Principles, governing equations, and predictive theories for aircraft aerodynamics. Lift and drag of 2D airfoils, 3D wings, and high-lift devices.",4 units,EME 106
EAE,Aerospace Science & Engineering (EAE),EAE 129,Stability & Control of Aerospace Vehicles,Aircraft and spacecraft stability and control. Derivation of fundamental equations of motion for aircraft/spacecraft. Fundamentals of feedback. Aircraft flight control systems. Spacecraft attitude control systems.,4 units,ENG 102
EAE,Aerospace Science & Engineering (EAE),EAE 130A,Aircraft Performance & Design,"Major aircraft design experience with multiple realistic constraints including aerodynamics, performance analysis, weight estimation, stability and control, and appropriate engineering standards.",4 units,"EAE 126, EAE 127, EAE 129"
EAE,Aerospace Science & Engineering (EAE),EAE 130B,Aircraft Performance & Design,"Major aircraft design experience including detailed design, cost analysis, analysis of aircraft structure, propulsion system, aerodynamics, aircraft handling qualities, manufacturing, or meeting relevant engineering standards.",4 units,EAE 130A
EAE,Aerospace Science & Engineering (EAE),EAE 133,Finite Element Methods in Structures,"Introduction to the aerospace structural design process. History of aircraft and spacecraft materials. Effects of loading beyond elastic limit. Deflections and stresses due to combined loading. Virtual work principles, and finite element methods. Applications to aerospace structures.",4 units,ENG 104
EAE,Aerospace Science & Engineering (EAE),EAE 135,Aerospace Structures,"Analysis and design methods used in aerospace structures. Shear flow in open, closed and multicell beam cross-sections, buckling of flat and curved sheets, tension field beams, local buckling.",4 units,"ENG 104, EAE 126, EAE 127"
EAE,Aerospace Science & Engineering (EAE),EAE 137,Structural Composites,Overview of materials and technology for creating structures from fiber reinforced resin matrix composite material systems. Elementary design analysis and case studies emphasizing aeronautical applications.,4 units,ENG 104
EAE,Aerospace Science & Engineering (EAE),EAE 138,Aircraft Propulsion,"Analysis/design of modern aircraft gas turbine engines. Development/application of cycle performance prediction techniques. Introduction to design of inlets, compressors, burners, turbines, and nozzles. Cycle design for specific applications.",4 units,EME 106
EAE,Aerospace Science & Engineering (EAE),EAE 140,Rocket Propulsion,"Fluid and thermodynamics of rocket engines, liquid and solid rocket propulsion. Space propulsion concepts and space mission requirements.",4 units,EME 106
EAE,Aerospace Science & Engineering (EAE),EAE 142,Orbital Mechanics,"Satellite orbits, multistage rockets, current global boosters, and new technologies. Design application problems include satellites, trajectory optimizations, and interplanetary trajectories.",4 units,ENG 102
EAE,Aerospace Science & Engineering (EAE),EAE 143A,Space Vehicle Design,Governing equations and operational practices of robotic and human space travel. Principles of Systems Engineering are introduced and are used as a basis for a team project in spacecraft reverse-engineering and design.,4 units,"EAE 140, EAE 142"
EAE,Aerospace Science & Engineering (EAE),EAE 143B,Space Mission Design,"Introduction to space systems design including space project organization, requirements definition & specification, concepts formulation, system tradeoffs, and subsystem design. Prototype space mission concepts & multidisciplinary mission design.",4 units,EAE 143A
EAE,Aerospace Science & Engineering (EAE),EAE 189C,Flight Simulation & Testing in Design of Aircraft & Spacecraft,"Teaches flight test techniques together with data analysis methods to prepare students for any type of flight testing including fixed wing, rotary wing and launch vehicles.",4 units,ENG 102
EAE,Aerospace Science & Engineering (EAE),EAE 198,Directed Group Study,Directed group study.,1-5 units,Consent of instructor.
EAE,Aerospace Science & Engineering (EAE),EAE 199,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.,1-5 units,Consent of instructor.
AAS,African American & African Studies (AAS),AAS 010,African-American Culture & Society,"Critical examination of the historical, political, social, and economic factors that have affected the development and status of African-American people in contemporary society.",4 units,None
AAS,African American & African Studies (AAS),AAS 012,Introduction to African Studies,"Introduction to African Studies which will focus on the various disciplinary perspectives through which African society and culture are generally studied. A survey of methods, resources and conceptual tools for the study of Africa.",4 units,None
AAS,African American & African Studies (AAS),AAS 015,Introduction to African American Humanities,"Introduction to the humanist tradition developed by writers, philosophers, and artists of African descent in the West. Attention also given to African sources, as well as European, Caribbean, Latin-American, and North American variations on this tradition.",4 units,None
AAS,African American & African Studies (AAS),AAS 016,Verbal & Performance Arts in Africa,"African verbal arts; oral texts from different African cultures. Types of critical response to oral texts, role of oral artists, context and esthetics of oral performance in Africa.",4 units,None
AAS,African American & African Studies (AAS),AAS 017,Women in African Societies,"Gender relations in traditional and contemporary African society. Involvement of African women in politics, religion, the economy, the arts. African responses to feminist theory. Images of women in African literature.",4 units,None
AAS,African American & African Studies (AAS),AAS 018,Introduction to Caribbean Studies,"Introduction to the contemporary culture, peoples, politics, and societies of the Caribbean. Topics include movements of people, goods and ideas across the Atlantic world and creative productions within the Caribbean.",4 units,None
AAS,African American & African Studies (AAS),AAS 050,Black Popular Culture,"Survey of the African American images in popular culture (film, television, comedy, sports and music).",4 units,None
AAS,African American & African Studies (AAS),AAS 051,History of Afro American Dance,"Evolution of African-American dance, tracing its history and development from West and Central Africa to the United States. Investigates the social and cultural relevance of African American dance and its artistic merits through  contributions from its choreographers and performers.",4 units,None
AAS,African American & African Studies (AAS),AAS 052,African Traditional Religion,"Introduction to traditional religions of the sub-Saharan African peoples: emphasis on myths, rituals and symbols in West, East, Central and South African indigenous religions. Examines themes: sacred kingship, divination system, women, prophecy, conversion and adaptation to Islam and Christianity.",4 units,None
AAS,African American & African Studies (AAS),AAS 053,Black California,Introduction to the experiences and contributions of people of African descent in California from the early 18th century to the present.,4 units,None
AAS,African American & African Studies (AAS),AAS 080,Introduction to Black Politics,"Introduction to the analysis of Afro-American politics, using conceptual frameworks from political science and other social sciences.",4 units,None
AAS,African American & African Studies (AAS),AAS 099,Special Study for Undergraduates,Special study for undergraduates.,1-5 units,Consent of instructor.
AAS,African American & African Studies (AAS),AAS 100,Survey of Ethnicity in the US,"Sociological and historical analysis of the experience, culture, and relations of and between groups considered racial and/or ethnic minorities in the United States.",4 units,Upper division standing or consent of instructor.
AAS,African American & African Studies (AAS),AAS 101,Introduction to Research in the Afro-American Community,Introductory survey of Afro-American Studies methods and techniques; problems and methodology in Afro-American Studies.,4 units,AAS 010
